# Generated using a python script
# Convert to a table using `libime_tabledict`
#
# if you wanna use this as your IME, follow the install instructions at https://github.com/mun-luna/nasin-mun
# but make sure to delete the `./nasin-mun/` directory, and rename `./nasin-mun-combos/` to `./nasin-mun/`
# BEFORE using the nix module or the install script
# keep in mind that this is more a proof of concept than anything else, many improvements could be made
#
# all keys are generated in the format of "KeyOne-KeyTwo", if you need to use a particular joiner, navigate using the hint

KeyCode=ptkmnswljaeiou-
Length=15

[Data]
a 󱤀
pali-kalama 󱥉‍󱤕
pali-kama 󱥉‍󱤖
pali-kasi 󱥉‍󱤗
pali-ken 󱥉‍󱤘
pali-kepeken 󱥉‍󱤙
pali-kili 󱥉‍󱤚
pali-kin 󱥉‍󱥹
pali-kiwen 󱥉‍󱤛
pali-ko 󱥉‍󱤜
pali-kon 󱥉‍󱤝
pali-kule 󱥉‍󱤞
pali-kulupu 󱥉‍󱤟
pali-kute 󱥉‍󱤠
pali-la 󱥉‍󱤡
pali-lape 󱥉‍󱤢
pali-laso 󱥉‍󱤣
pali-lawa 󱥉‍󱤤
pali-len 󱥉‍󱤥
pali-lete 󱥉‍󱤦
pali-li 󱥉‍󱤧
pali-lili 󱥉‍󱤨
pali-linja 󱥉‍󱤩
pali-lipu 󱥉‍󱤪
pali-loje 󱥉‍󱤫
pali-lon 󱥉‍󱤬
pali-luka 󱥉‍󱤭
pali-lukin 󱥉‍󱤮
pali-lupa 󱥉‍󱤯
pali-ma 󱥉‍󱤰
pali-mama 󱥉‍󱤱
pali-mani 󱥉‍󱤲
pali-meli 󱥉‍󱤳
pali-mi 󱥉‍󱤴
pali-mije 󱥉‍󱤵
pali-moku 󱥉‍󱤶
pali-moli 󱥉‍󱤷
pali-monsi 󱥉‍󱤸
pali-monsuta 󱥉‍󱥽
pali-mu 󱥉‍󱤹
pali-mun 󱥉‍󱤺
pali-musi 󱥉‍󱤻
pali-mute 󱥉‍󱤼
pali-nanpa 󱥉‍󱤽
pali-nasa 󱥉‍󱤾
pali-nasin 󱥉‍󱤿
pali-nena 󱥉‍󱥀
pali-ni 󱥉‍󱥁
pali-nimi 󱥉‍󱥂
pali-noka 󱥉‍󱥃
pali-o 󱥉‍󱥄
pali-olin 󱥉‍󱥅
pali-ona 󱥉‍󱥆
pali-open 󱥉‍󱥇
pali-pakala 󱥉‍󱥈
pali-pali 󱥉‍󱥉
pali-palisa 󱥉‍󱥊
pali-pan 󱥉‍󱥋
pali-pana 󱥉‍󱥌
pali-pi 󱥉‍󱥍
pali-pilin 󱥉‍󱥎
pali-pimeja 󱥉‍󱥏
pali-pini 󱥉‍󱥐
pali-pipi 󱥉‍󱥑
pali-poka 󱥉‍󱥒
pali-poki 󱥉‍󱥓
pali-pona 󱥉‍󱥔
pali-pu 󱥉‍󱥕
pali-sama 󱥉‍󱥖
pali-seli 󱥉‍󱥗
pali-selo 󱥉‍󱥘
pali-seme 󱥉‍󱥙
pali-sewi 󱥉‍󱥚
pali-sijelo 󱥉‍󱥛
pali-sike 󱥉‍󱥜
pali-sin 󱥉‍󱥝
pali-sina 󱥉‍󱥞
pali-sinpin 󱥉‍󱥟
pali-sitelen 󱥉‍󱥠
pali-sona 󱥉‍󱥡
pali-soweli 󱥉‍󱥢
pali-suli 󱥉‍󱥣
pali-suno 󱥉‍󱥤
pali-supa 󱥉‍󱥥
pali-suwi 󱥉‍󱥦
pali-tan 󱥉‍󱥧
pali-taso 󱥉‍󱥨
pali-tawa 󱥉‍󱥩
pali-telo 󱥉‍󱥪
pali-tenpo 󱥉‍󱥫
pali-toki 󱥉‍󱥬
pali-tomo 󱥉‍󱥭
pali-tonsi 󱥉‍󱥾
pali-tu 󱥉‍󱥮
pali-unpa 󱥉‍󱥯
pali-uta 󱥉‍󱥰
pali-utala 󱥉‍󱥱
pali-walo 󱥉‍󱥲
pali-wan 󱥉‍󱥳
pali-waso 󱥉‍󱥴
pali-wawa 󱥉‍󱥵
pali-weka 󱥉‍󱥶
pali-wile 󱥉‍󱥷
pali-kijetesantakalu 󱥉‍󱦀
pali-kipisi 󱥉‍󱥻
pali-ku 󱥉‍󱦈
pali-leko 󱥉‍󱥼
pali-misikeke 󱥉‍󱦇
pali-n 󱥉‍󱦆
pali-namako 󱥉‍󱥸
pali-soko 󱥉‍󱦁
pali-epiku 󱥉‍󱦃
pali-jasima 󱥉‍󱥿
pali-lanpan 󱥉‍󱦅
pali-linluwi 󱥉‍󱦤
pali-majuna 󱥉‍󱦢
pali-meso 󱥉‍󱦂
pali-oko 󱥉‍󱥺
pali-su 󱥉‍󱦦
pali-a 󱥉󱦕󱤀
pali-akesi 󱥉󱦕󱤁
pali-ala 󱥉󱦕󱤂
pali-alasa 󱥉󱦕󱤃
pali-ale 󱥉󱦕󱤄
pali-anpa 󱥉󱦕󱤅
pali-ante 󱥉󱦕󱤆
pali-anu 󱥉󱦕󱤇
pali-awen 󱥉󱦕󱤈
pali-e 󱥉󱦕󱤉
pali-en 󱥉󱦕󱤊
pali-esun 󱥉󱦕󱤋
pali-ijo 󱥉󱦕󱤌
pali-ike 󱥉󱦕󱤍
pali-ilo 󱥉󱦕󱤎
pali-insa 󱥉󱦕󱤏
pali-jaki 󱥉󱦕󱤐
pali-jan 󱥉󱦕󱤑
pali-jelo 󱥉󱦕󱤒
pali-jo 󱥉󱦕󱤓
pali-kala 󱥉󱦕󱤔
pali-kalama 󱥉󱦕󱤕
pali-kama 󱥉󱦕󱤖
pali-kasi 󱥉󱦕󱤗
pali-ken 󱥉󱦕󱤘
pali-kepeken 󱥉󱦕󱤙
pali-kili 󱥉󱦕󱤚
pali-kin 󱥉󱦕󱥹
pali-kiwen 󱥉󱦕󱤛
pali-ko 󱥉󱦕󱤜
pali-kon 󱥉󱦕󱤝
pali-kule 󱥉󱦕󱤞
pali-kulupu 󱥉󱦕󱤟
pali-kute 󱥉󱦕󱤠
pali-la 󱥉󱦕󱤡
pali-lape 󱥉󱦕󱤢
pali-laso 󱥉󱦕󱤣
pali-lawa 󱥉󱦕󱤤
pali-len 󱥉󱦕󱤥
pali-lete 󱥉󱦕󱤦
pali-li 󱥉󱦕󱤧
pali-lili 󱥉󱦕󱤨
pali-linja 󱥉󱦕󱤩
pali-lipu 󱥉󱦕󱤪
pali-loje 󱥉󱦕󱤫
pali-lon 󱥉󱦕󱤬
pali-luka 󱥉󱦕󱤭
pali-lukin 󱥉󱦕󱤮
pali-lupa 󱥉󱦕󱤯
pali-ma 󱥉󱦕󱤰
pali-mama 󱥉󱦕󱤱
pali-mani 󱥉󱦕󱤲
pali-meli 󱥉󱦕󱤳
pali-mi 󱥉󱦕󱤴
pali-mije 󱥉󱦕󱤵
pali-moku 󱥉󱦕󱤶
pali-moli 󱥉󱦕󱤷
pali-monsi 󱥉󱦕󱤸
pali-monsuta 󱥉󱦕󱥽
pali-mu 󱥉󱦕󱤹
pali-mun 󱥉󱦕󱤺
pali-musi 󱥉󱦕󱤻
pali-mute 󱥉󱦕󱤼
pali-nanpa 󱥉󱦕󱤽
pali-nasa 󱥉󱦕󱤾
pali-nasin 󱥉󱦕󱤿
pali-nena 󱥉󱦕󱥀
pali-ni 󱥉󱦕󱥁
pali-nimi 󱥉󱦕󱥂
pali-noka 󱥉󱦕󱥃
pali-o 󱥉󱦕󱥄
pali-olin 󱥉󱦕󱥅
pali-ona 󱥉󱦕󱥆
pali-open 󱥉󱦕󱥇
pali-pakala 󱥉󱦕󱥈
pali-pali 󱥉󱦕󱥉
pali-palisa 󱥉󱦕󱥊
pali-pan 󱥉󱦕󱥋
pali-pana 󱥉󱦕󱥌
pali-pi 󱥉󱦕󱥍
pali-pilin 󱥉󱦕󱥎
pali-pimeja 󱥉󱦕󱥏
pali-pini 󱥉󱦕󱥐
pali-pipi 󱥉󱦕󱥑
pali-poka 󱥉󱦕󱥒
pali-poki 󱥉󱦕󱥓
pali-pona 󱥉󱦕󱥔
pali-pu 󱥉󱦕󱥕
pali-sama 󱥉󱦕󱥖
pali-seli 󱥉󱦕󱥗
pali-selo 󱥉󱦕󱥘
pali-seme 󱥉󱦕󱥙
pali-sewi 󱥉󱦕󱥚
pali-sijelo 󱥉󱦕󱥛
pali-sike 󱥉󱦕󱥜
pali-sin 󱥉󱦕󱥝
pali-sina 󱥉󱦕󱥞
pali-sinpin 󱥉󱦕󱥟
pali-sitelen 󱥉󱦕󱥠
pali-sona 󱥉󱦕󱥡
pali-soweli 󱥉󱦕󱥢
pali-suli 󱥉󱦕󱥣
pali-suno 󱥉󱦕󱥤
pali-supa 󱥉󱦕󱥥
pali-suwi 󱥉󱦕󱥦
pali-tan 󱥉󱦕󱥧
pali-taso 󱥉󱦕󱥨
pali-tawa 󱥉󱦕󱥩
pali-telo 󱥉󱦕󱥪
pali-tenpo 󱥉󱦕󱥫
pali-toki 󱥉󱦕󱥬
pali-tomo 󱥉󱦕󱥭
pali-tonsi 󱥉󱦕󱥾
pali-tu 󱥉󱦕󱥮
pali-unpa 󱥉󱦕󱥯
pali-uta 󱥉󱦕󱥰
pali-utala 󱥉󱦕󱥱
pali-walo 󱥉󱦕󱥲
pali-wan 󱥉󱦕󱥳
pali-waso 󱥉󱦕󱥴
pali-wawa 󱥉󱦕󱥵
pali-weka 󱥉󱦕󱥶
pali-wile 󱥉󱦕󱥷
pali-kijetesantakalu 󱥉󱦕󱦀
pali-kipisi 󱥉󱦕󱥻
pali-ku 󱥉󱦕󱦈
pali-leko 󱥉󱦕󱥼
pali-misikeke 󱥉󱦕󱦇
pali-n 󱥉󱦕󱦆
pali-namako 󱥉󱦕󱥸
pali-soko 󱥉󱦕󱦁
pali-epiku 󱥉󱦕󱦃
pali-jasima 󱥉󱦕󱥿
pali-lanpan 󱥉󱦕󱦅
pali-linluwi 󱥉󱦕󱦤
pali-majuna 󱥉󱦕󱦢
pali-meso 󱥉󱦕󱦂
pali-oko 󱥉󱦕󱥺
pali-su 󱥉󱦕󱦦
pali-a 󱥉󱦖󱤀
pali-akesi 󱥉󱦖󱤁
pali-ala 󱥉󱦖󱤂
pali-alasa 󱥉󱦖󱤃
pali-ale 󱥉󱦖󱤄
pali-anpa 󱥉󱦖󱤅
pali-ante 󱥉󱦖󱤆
pali-anu 󱥉󱦖󱤇
pali-awen 󱥉󱦖󱤈
pali-e 󱥉󱦖󱤉
pali-en 󱥉󱦖󱤊
pali-esun 󱥉󱦖󱤋
pali-ijo 󱥉󱦖󱤌
pali-ike 󱥉󱦖󱤍
pali-ilo 󱥉󱦖󱤎
pali-insa 󱥉󱦖󱤏
pali-jaki 󱥉󱦖󱤐
pali-jan 󱥉󱦖󱤑
pali-jelo 󱥉󱦖󱤒
pali-jo 󱥉󱦖󱤓
pali-kala 󱥉󱦖󱤔
pali-kalama 󱥉󱦖󱤕
pali-kama 󱥉󱦖󱤖
pali-kasi 󱥉󱦖󱤗
pali-ken 󱥉󱦖󱤘
pali-kepeken 󱥉󱦖󱤙
pali-kili 󱥉󱦖󱤚
pali-kin 󱥉󱦖󱥹
pali-kiwen 󱥉󱦖󱤛
pali-ko 󱥉󱦖󱤜
pali-kon 󱥉󱦖󱤝
pali-kule 󱥉󱦖󱤞
pali-kulupu 󱥉󱦖󱤟
pali-kute 󱥉󱦖󱤠
pali-la 󱥉󱦖󱤡
pali-lape 󱥉󱦖󱤢
pali-laso 󱥉󱦖󱤣
pali-lawa 󱥉󱦖󱤤
pali-len 󱥉󱦖󱤥
pali-lete 󱥉󱦖󱤦
pali-li 󱥉󱦖󱤧
pali-lili 󱥉󱦖󱤨
pali-linja 󱥉󱦖󱤩
pali-lipu 󱥉󱦖󱤪
pali-loje 󱥉󱦖󱤫
pali-lon 󱥉󱦖󱤬
pali-luka 󱥉󱦖󱤭
pali-lukin 󱥉󱦖󱤮
pali-lupa 󱥉󱦖󱤯
pali-ma 󱥉󱦖󱤰
pali-mama 󱥉󱦖󱤱
pali-mani 󱥉󱦖󱤲
pali-meli 󱥉󱦖󱤳
pali-mi 󱥉󱦖󱤴
pali-mije 󱥉󱦖󱤵
pali-moku 󱥉󱦖󱤶
pali-moli 󱥉󱦖󱤷
pali-monsi 󱥉󱦖󱤸
pali-monsuta 󱥉󱦖󱥽
pali-mu 󱥉󱦖󱤹
pali-mun 󱥉󱦖󱤺
pali-musi 󱥉󱦖󱤻
pali-mute 󱥉󱦖󱤼
pali-nanpa 󱥉󱦖󱤽
pali-nasa 󱥉󱦖󱤾
pali-nasin 󱥉󱦖󱤿
pali-nena 󱥉󱦖󱥀
pali-ni 󱥉󱦖󱥁
pali-nimi 󱥉󱦖󱥂
pali-noka 󱥉󱦖󱥃
pali-o 󱥉󱦖󱥄
pali-olin 󱥉󱦖󱥅
pali-ona 󱥉󱦖󱥆
pali-open 󱥉󱦖󱥇
pali-pakala 󱥉󱦖󱥈
pali-pali 󱥉󱦖󱥉
pali-palisa 󱥉󱦖󱥊
pali-pan 󱥉󱦖󱥋
pali-pana 󱥉󱦖󱥌
pali-pi 󱥉󱦖󱥍
pali-pilin 󱥉󱦖󱥎
pali-pimeja 󱥉󱦖󱥏
pali-pini 󱥉󱦖󱥐
pali-pipi 󱥉󱦖󱥑
pali-poka 󱥉󱦖󱥒
pali-poki 󱥉󱦖󱥓
pali-pona 󱥉󱦖󱥔
pali-pu 󱥉󱦖󱥕
pali-sama 󱥉󱦖󱥖
pali-seli 󱥉󱦖󱥗
pali-selo 󱥉󱦖󱥘
pali-seme 󱥉󱦖󱥙
pali-sewi 󱥉󱦖󱥚
pali-sijelo 󱥉󱦖󱥛
pali-sike 󱥉󱦖󱥜
pali-sin 󱥉󱦖󱥝
pali-sina 󱥉󱦖󱥞
pali-sinpin 󱥉󱦖󱥟
pali-sitelen 󱥉󱦖󱥠
pali-sona 󱥉󱦖󱥡
pali-soweli 󱥉󱦖󱥢
pali-suli 󱥉󱦖󱥣
pali-suno 󱥉󱦖󱥤
pali-supa 󱥉󱦖󱥥
pali-suwi 󱥉󱦖󱥦
pali-tan 󱥉󱦖󱥧
pali-taso 󱥉󱦖󱥨
pali-tawa 󱥉󱦖󱥩
pali-telo 󱥉󱦖󱥪
pali-tenpo 󱥉󱦖󱥫
pali-toki 󱥉󱦖󱥬
pali-tomo 󱥉󱦖󱥭
pali-tonsi 󱥉󱦖󱥾
pali-tu 󱥉󱦖󱥮
pali-unpa 󱥉󱦖󱥯
pali-uta 󱥉󱦖󱥰
pali-utala 󱥉󱦖󱥱
pali-walo 󱥉󱦖󱥲
pali-wan 󱥉󱦖󱥳
pali-waso 󱥉󱦖󱥴
pali-wawa 󱥉󱦖󱥵
pali-weka 󱥉󱦖󱥶
pali-wile 󱥉󱦖󱥷
pali-kijetesantakalu 󱥉󱦖󱦀
pali-kipisi 󱥉󱦖󱥻
pali-ku 󱥉󱦖󱦈
pali-leko 󱥉󱦖󱥼
pali-misikeke 󱥉󱦖󱦇
pali-n 󱥉󱦖󱦆
pali-namako 󱥉󱦖󱥸
pali-soko 󱥉󱦖󱦁
pali-epiku 󱥉󱦖󱦃
pali-jasima 󱥉󱦖󱥿
pali-lanpan 󱥉󱦖󱦅
pali-linluwi 󱥉󱦖󱦤
pali-majuna 󱥉󱦖󱦢
pali-meso 󱥉󱦖󱦂
pali-oko 󱥉󱦖󱥺
pali-su 󱥉󱦖󱦦
palisa 󱥊
palisa-a 󱥊‍󱤀
palisa-akesi 󱥊‍󱤁
palisa-ala 󱥊‍󱤂
palisa-alasa 󱥊‍󱤃
palisa-ale 󱥊‍󱤄
palisa-anpa 󱥊‍󱤅
palisa-ante 󱥊‍󱤆
palisa-anu 󱥊‍󱤇
palisa-awen 󱥊‍󱤈
palisa-e 󱥊‍󱤉
palisa-en 󱥊‍󱤊
palisa-esun 󱥊‍󱤋
palisa-ijo 󱥊‍󱤌
palisa-ike 󱥊‍󱤍
palisa-ilo 󱥊‍󱤎
palisa-insa 󱥊‍󱤏
palisa-jaki 󱥊‍󱤐
palisa-jan 󱥊‍󱤑
palisa-jelo 󱥊‍󱤒
palisa-jo 󱥊‍󱤓
palisa-kala 󱥊‍󱤔
palisa-kalama 󱥊‍󱤕
palisa-kama 󱥊‍󱤖
palisa-kasi 󱥊‍󱤗
palisa-ken 󱥊‍󱤘
palisa-kepeken 󱥊‍󱤙
palisa-kili 󱥊‍󱤚
palisa-kin 󱥊‍󱥹
palisa-kiwen 󱥊‍󱤛
palisa-ko 󱥊‍󱤜
palisa-kon 󱥊‍󱤝
palisa-kule 󱥊‍󱤞
palisa-kulupu 󱥊‍󱤟
palisa-kute 󱥊‍󱤠
palisa-la 󱥊‍󱤡
palisa-lape 󱥊‍󱤢
palisa-laso 󱥊‍󱤣
palisa-lawa 󱥊‍󱤤
palisa-len 󱥊‍󱤥
palisa-lete 󱥊‍󱤦
palisa-li 󱥊‍󱤧
palisa-lili 󱥊‍󱤨
palisa-linja 󱥊‍󱤩
palisa-lipu 󱥊‍󱤪
palisa-loje 󱥊‍󱤫
palisa-lon 󱥊‍󱤬
palisa-luka 󱥊‍󱤭
palisa-lukin 󱥊‍󱤮
palisa-lupa 󱥊‍󱤯
palisa-ma 󱥊‍󱤰
palisa-mama 󱥊‍󱤱
palisa-mani 󱥊‍󱤲
palisa-meli 󱥊‍󱤳
palisa-mi 󱥊‍󱤴
palisa-mije 󱥊‍󱤵
palisa-moku 󱥊‍󱤶
palisa-moli 󱥊‍󱤷
palisa-monsi 󱥊‍󱤸
palisa-monsuta 󱥊‍󱥽
palisa-mu 󱥊‍󱤹
palisa-mun 󱥊‍󱤺
palisa-musi 󱥊‍󱤻
palisa-mute 󱥊‍󱤼
palisa-nanpa 󱥊‍󱤽
palisa-nasa 󱥊‍󱤾
palisa-nasin 󱥊‍󱤿
palisa-nena 󱥊‍󱥀
palisa-ni 󱥊‍󱥁
palisa-nimi 󱥊‍󱥂
palisa-noka 󱥊‍󱥃
palisa-o 󱥊‍󱥄
palisa-olin 󱥊‍󱥅
palisa-ona 󱥊‍󱥆
palisa-open 󱥊‍󱥇
palisa-pakala 󱥊‍󱥈
palisa-pali 󱥊‍󱥉
palisa-palisa 󱥊‍󱥊
palisa-pan 󱥊‍󱥋
palisa-pana 󱥊‍󱥌
palisa-pi 󱥊‍󱥍
palisa-pilin 󱥊‍󱥎
palisa-pimeja 󱥊‍󱥏
palisa-pini 󱥊‍󱥐
palisa-pipi 󱥊‍󱥑
palisa-poka 󱥊‍󱥒
palisa-poki 󱥊‍󱥓
palisa-pona 󱥊‍󱥔
palisa-pu 󱥊‍󱥕
palisa-sama 󱥊‍󱥖
palisa-seli 󱥊‍󱥗
palisa-selo 󱥊‍󱥘
palisa-seme 󱥊‍󱥙
palisa-sewi 󱥊‍󱥚
palisa-sijelo 󱥊‍󱥛
palisa-sike 󱥊‍󱥜
palisa-sin 󱥊‍󱥝
palisa-sina 󱥊‍󱥞
palisa-sinpin 󱥊‍󱥟
palisa-sitelen 󱥊‍󱥠
palisa-sona 󱥊‍󱥡
palisa-soweli 󱥊‍󱥢
palisa-suli 󱥊‍󱥣
palisa-suno 󱥊‍󱥤
palisa-supa 󱥊‍󱥥
palisa-suwi 󱥊‍󱥦
palisa-tan 󱥊‍󱥧
palisa-taso 󱥊‍󱥨
palisa-tawa 󱥊‍󱥩
palisa-telo 󱥊‍󱥪
palisa-tenpo 󱥊‍󱥫
palisa-toki 󱥊‍󱥬
palisa-tomo 󱥊‍󱥭
palisa-tonsi 󱥊‍󱥾
palisa-tu 󱥊‍󱥮
palisa-unpa 󱥊‍󱥯
palisa-uta 󱥊‍󱥰
palisa-utala 󱥊‍󱥱
palisa-walo 󱥊‍󱥲
palisa-wan 󱥊‍󱥳
palisa-waso 󱥊‍󱥴
palisa-wawa 󱥊‍󱥵
palisa-weka 󱥊‍󱥶
palisa-wile 󱥊‍󱥷
palisa-kijetesantakalu 󱥊‍󱦀
palisa-kipisi 󱥊‍󱥻
palisa-ku 󱥊‍󱦈
palisa-leko 󱥊‍󱥼
palisa-misikeke 󱥊‍󱦇
palisa-n 󱥊‍󱦆
palisa-namako 󱥊‍󱥸
palisa-soko 󱥊‍󱦁
palisa-epiku 󱥊‍󱦃
palisa-jasima 󱥊‍󱥿
palisa-lanpan 󱥊‍󱦅
palisa-linluwi 󱥊‍󱦤
palisa-majuna 󱥊‍󱦢
palisa-meso 󱥊‍󱦂
palisa-oko 󱥊‍󱥺
palisa-su 󱥊‍󱦦
palisa-a 󱥊󱦕󱤀
palisa-akesi 󱥊󱦕󱤁
palisa-ala 󱥊󱦕󱤂
palisa-alasa 󱥊󱦕󱤃
palisa-ale 󱥊󱦕󱤄
palisa-anpa 󱥊󱦕󱤅
palisa-ante 󱥊󱦕󱤆
palisa-anu 󱥊󱦕󱤇
palisa-awen 󱥊󱦕󱤈
palisa-e 󱥊󱦕󱤉
palisa-en 󱥊󱦕󱤊
palisa-esun 󱥊󱦕󱤋
palisa-ijo 󱥊󱦕󱤌
palisa-ike 󱥊󱦕󱤍
palisa-ilo 󱥊󱦕󱤎
palisa-insa 󱥊󱦕󱤏
palisa-jaki 󱥊󱦕󱤐
palisa-jan 󱥊󱦕󱤑
palisa-jelo 󱥊󱦕󱤒
palisa-jo 󱥊󱦕󱤓
palisa-kala 󱥊󱦕󱤔
palisa-kalama 󱥊󱦕󱤕
palisa-kama 󱥊󱦕󱤖
palisa-kasi 󱥊󱦕󱤗
palisa-ken 󱥊󱦕󱤘
palisa-kepeken 󱥊󱦕󱤙
palisa-kili 󱥊󱦕󱤚
palisa-kin 󱥊󱦕󱥹
palisa-kiwen 󱥊󱦕󱤛
palisa-ko 󱥊󱦕󱤜
palisa-kon 󱥊󱦕󱤝
palisa-kule 󱥊󱦕󱤞
palisa-kulupu 󱥊󱦕󱤟
palisa-kute 󱥊󱦕󱤠
palisa-la 󱥊󱦕󱤡
palisa-lape 󱥊󱦕󱤢
palisa-laso 󱥊󱦕󱤣
palisa-lawa 󱥊󱦕󱤤
palisa-len 󱥊󱦕󱤥
palisa-lete 󱥊󱦕󱤦
palisa-li 󱥊󱦕󱤧
palisa-lili 󱥊󱦕󱤨
palisa-linja 󱥊󱦕󱤩
palisa-lipu 󱥊󱦕󱤪
palisa-loje 󱥊󱦕󱤫
palisa-lon 󱥊󱦕󱤬
palisa-luka 󱥊󱦕󱤭
palisa-lukin 󱥊󱦕󱤮
palisa-lupa 󱥊󱦕󱤯
palisa-ma 󱥊󱦕󱤰
palisa-mama 󱥊󱦕󱤱
palisa-mani 󱥊󱦕󱤲
palisa-meli 󱥊󱦕󱤳
palisa-mi 󱥊󱦕󱤴
palisa-mije 󱥊󱦕󱤵
palisa-moku 󱥊󱦕󱤶
palisa-moli 󱥊󱦕󱤷
palisa-monsi 󱥊󱦕󱤸
palisa-monsuta 󱥊󱦕󱥽
palisa-mu 󱥊󱦕󱤹
palisa-mun 󱥊󱦕󱤺
palisa-musi 󱥊󱦕󱤻
palisa-mute 󱥊󱦕󱤼
palisa-nanpa 󱥊󱦕󱤽
palisa-nasa 󱥊󱦕󱤾
palisa-nasin 󱥊󱦕󱤿
palisa-nena 󱥊󱦕󱥀
palisa-ni 󱥊󱦕󱥁
palisa-nimi 󱥊󱦕󱥂
palisa-noka 󱥊󱦕󱥃
palisa-o 󱥊󱦕󱥄
palisa-olin 󱥊󱦕󱥅
palisa-ona 󱥊󱦕󱥆
palisa-open 󱥊󱦕󱥇
palisa-pakala 󱥊󱦕󱥈
palisa-pali 󱥊󱦕󱥉
palisa-palisa 󱥊󱦕󱥊
palisa-pan 󱥊󱦕󱥋
palisa-pana 󱥊󱦕󱥌
palisa-pi 󱥊󱦕󱥍
palisa-pilin 󱥊󱦕󱥎
palisa-pimeja 󱥊󱦕󱥏
palisa-pini 󱥊󱦕󱥐
palisa-pipi 󱥊󱦕󱥑
palisa-poka 󱥊󱦕󱥒
palisa-poki 󱥊󱦕󱥓
palisa-pona 󱥊󱦕󱥔
palisa-pu 󱥊󱦕󱥕
palisa-sama 󱥊󱦕󱥖
palisa-seli 󱥊󱦕󱥗
palisa-selo 󱥊󱦕󱥘
palisa-seme 󱥊󱦕󱥙
palisa-sewi 󱥊󱦕󱥚
palisa-sijelo 󱥊󱦕󱥛
palisa-sike 󱥊󱦕󱥜
palisa-sin 󱥊󱦕󱥝
palisa-sina 󱥊󱦕󱥞
palisa-sinpin 󱥊󱦕󱥟
palisa-sitelen 󱥊󱦕󱥠
palisa-sona 󱥊󱦕󱥡
palisa-soweli 󱥊󱦕󱥢
palisa-suli 󱥊󱦕󱥣
palisa-suno 󱥊󱦕󱥤
palisa-supa 󱥊󱦕󱥥
palisa-suwi 󱥊󱦕󱥦
palisa-tan 󱥊󱦕󱥧
palisa-taso 󱥊󱦕󱥨
palisa-tawa 󱥊󱦕󱥩
palisa-telo 󱥊󱦕󱥪
palisa-tenpo 󱥊󱦕󱥫
palisa-toki 󱥊󱦕󱥬
palisa-tomo 󱥊󱦕󱥭
palisa-tonsi 󱥊󱦕󱥾
palisa-tu 󱥊󱦕󱥮
palisa-unpa 󱥊󱦕󱥯
palisa-uta 󱥊󱦕󱥰
palisa-utala 󱥊󱦕󱥱
palisa-walo 󱥊󱦕󱥲
palisa-wan 󱥊󱦕󱥳
palisa-waso 󱥊󱦕󱥴
palisa-wawa 󱥊󱦕󱥵
palisa-weka 󱥊󱦕󱥶
palisa-wile 󱥊󱦕󱥷
palisa-kijetesantakalu 󱥊󱦕󱦀
palisa-kipisi 󱥊󱦕󱥻
palisa-ku 󱥊󱦕󱦈
palisa-leko 󱥊󱦕󱥼
palisa-misikeke 󱥊󱦕󱦇
palisa-n 󱥊󱦕󱦆
palisa-namako 󱥊󱦕󱥸
palisa-soko 󱥊󱦕󱦁
palisa-epiku 󱥊󱦕󱦃
palisa-jasima 󱥊󱦕󱥿
palisa-lanpan 󱥊󱦕󱦅
palisa-linluwi 󱥊󱦕󱦤
palisa-majuna 󱥊󱦕󱦢
palisa-meso 󱥊󱦕󱦂
palisa-oko 󱥊󱦕󱥺
palisa-su 󱥊󱦕󱦦
palisa-a 󱥊󱦖󱤀
palisa-akesi 󱥊󱦖󱤁
palisa-ala 󱥊󱦖󱤂
palisa-alasa 󱥊󱦖󱤃
palisa-ale 󱥊󱦖󱤄
palisa-anpa 󱥊󱦖󱤅
palisa-ante 󱥊󱦖󱤆
palisa-anu 󱥊󱦖󱤇
palisa-awen 󱥊󱦖󱤈
palisa-e 󱥊󱦖󱤉
palisa-en 󱥊󱦖󱤊
palisa-esun 󱥊󱦖󱤋
palisa-ijo 󱥊󱦖󱤌
palisa-ike 󱥊󱦖󱤍
palisa-ilo 󱥊󱦖󱤎
palisa-insa 󱥊󱦖󱤏
palisa-jaki 󱥊󱦖󱤐
palisa-jan 󱥊󱦖󱤑
palisa-jelo 󱥊󱦖󱤒
palisa-jo 󱥊󱦖󱤓
palisa-kala 󱥊󱦖󱤔
palisa-kalama 󱥊󱦖󱤕
palisa-kama 󱥊󱦖󱤖
palisa-kasi 󱥊󱦖󱤗
palisa-ken 󱥊󱦖󱤘
palisa-kepeken 󱥊󱦖󱤙
palisa-kili 󱥊󱦖󱤚
palisa-kin 󱥊󱦖󱥹
palisa-kiwen 󱥊󱦖󱤛
palisa-ko 󱥊󱦖󱤜
palisa-kon 󱥊󱦖󱤝
palisa-kule 󱥊󱦖󱤞
palisa-kulupu 󱥊󱦖󱤟
palisa-kute 󱥊󱦖󱤠
palisa-la 󱥊󱦖󱤡
palisa-lape 󱥊󱦖󱤢
palisa-laso 󱥊󱦖󱤣
palisa-lawa 󱥊󱦖󱤤
palisa-len 󱥊󱦖󱤥
palisa-lete 󱥊󱦖󱤦
palisa-li 󱥊󱦖󱤧
palisa-lili 󱥊󱦖󱤨
palisa-linja 󱥊󱦖󱤩
palisa-lipu 󱥊󱦖󱤪
